name,label
404_102163391_dr1,1_ok
405_102037389_dr1,1_ok
406_102016904_dr1,1_ok
407_102026594_dr1,5_recentering_needed
408_102039839_dr1,5_recentering_needed
409_102009492_dr1,5_recentering_needed
410_102035544_dr1,1_ok
411_102158208_dr1,5_recentering_needed
412_102164768_dr1,4_group_scale
413_102042953_dr1,3_fix_needed
414_102024496_dr1,1_ok
415_102013146_dr1,1_ok
416_102016486_dr1,1_ok
417_102045492_dr1,1_ok
418_102025009_dr1,1_ok
419_102016856_dr1,1_ok
420_102161821_dr1,3_fix_needed
421_102152922_dr1,1_ok
422_102025511_dr1,1_ok
423_102036189_dr1,1_ok
424_102012358_dr1,1_ok
425_102027615_dr1,1_ok
426_102023484_dr1,5_recentering_needed
427_102012765_dr1,1_ok
428_102056802_dr1,1_ok
429_102160790_dr1,5_recentering_needed
430_102019109_dr1,1_ok
431_102046811_dr1,5_recentering_needed
432_102018700_dr1,5_recentering_needed
433_102030985_dr1,5_recentering_needed
434_102014343_dr1,4_group_scale
435_102032070_dr1,1_ok
436_102021988_dr1,5_recentering_needed
437_102047427_dr1,1_ok
438_102153315_dr1,1_ok
439_102162067_dr1,1_ok
440_102025001_dr1,5_recentering_needed
441_102012311_dr1,4_group_scale
442_102020078_dr1,1_ok
443_102019625_dr1,1_ok
444_102022511_dr1,1_ok
445_102008165_dr1,5_recentering_needed
446_102160287_dr1,1_ok
447_102159376_dr1,5_recentering_needed
448_102021938_dr1,1_ok
449_102162318_dr1,1_ok
450_102023434_dr1,1_ok
451_102160004_dr1,1_ok
452_102010185_dr1,1_ok
453_102022520_dr1,3_fix_needed
454_102018179_dr1,1_ok
455_102164119_dr1,1_ok
456_102162120_dr1,1_ok
457_102011562_dr1,1_ok
458_102163181_dr1,1_ok
459_102028697_dr1,5_recentering_needed
460_102024485_dr1,1_ok
461_102008848_dr1,1_ok
462_102022029_dr1,3_fix_needed
463_102051389_dr1,1_ok
464_102020078_dr1,1_ok
465_102046158_dr1,1_ok
466_102162960_dr1,1_ok
467_102030972_dr1,1_ok
468_102050772_dr1,1_ok
469_102163731_dr1,1_ok
470_102020551_dr1,5_recentering_needed
471_102008201_dr1,1_ok
472_102017737_dr1,1_ok
473_102022969_dr1,1_ok
474_102018172_dr1,1_ok
475_102163188_dr1,5_recentering_needed
476_102163979_dr1,1_ok
477_102029812_dr1,1_ok
478_102046783_dr1,1_ok
479_102017712_dr1,1_ok
480_102018693_dr1,1_ok
481_102162046_dr1,5_recentering_needed
482_102034999_dr1,1_ok
483_102033242_dr1,1_ok
484_102034440_dr1,1_ok
485_102164457_dr1,1_ok
486_102042955_dr1,1_ok
487_102164617_dr1,1_ok
488_102025508_dr1,1_ok
489_102057497_dr1,1_ok
490_102020039_dr1,1_ok
491_102022461_dr1,1_ok
492_102026607_dr1,1_ok
493_102017780_dr1,1_ok
494_102016412_dr1,5_recentering_needed
495_102047455_dr1,1_ok
496_102163939_dr1,1_ok
497_102011997_dr1,1_ok
498_102044872_dr1,1_ok
499_102016831_dr1,1_ok
500_102020095_dr1,1_ok
